time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.0364123227788,0.172817560725,11.8491962967,0.0991799406486,6.22926312915,0.0,0.184637548342,0.523995121527,2.9395573704,0.144029409258,-0.123993188609,0.0,458.7977037122137,458.3548337879336,459.20297331306574,459.5813662538817
1.3800000000000008,0.0488115251025,0.206656719295,12.0316569643,0.108258650916,6.22194204186,0.0,0.22950566208,0.604951998322,3.14174111445,0.162895104569,-0.118338214922,0.0,477.15556726180415,477.5747223765347,477.6713672102112,479.12737884962894
1.4400000000000008,0.0637655900094,0.2450266547,12.2212865545,0.117935560736,6.21470315183,0.0,0.269622434436,0.674923698129,3.17896247714,0.157847497445,-0.12571692862,0.0,428.481654463275,427.84009072886823,428.5153049329629,428.1118008894936
1.5000000000000009,0.081518266852,0.28820630244,12.4167172431,0.127429960843,6.20733162781,0.0,0.32292557092,0.765371673157,3.33471522265,0.159012675186,-0.117685268505,0.0,466.5231939593175,467.13699029287085,465.52020397059255,465.6338693702884
1.560000000000001,0.102446951417,0.336712939004,12.6190716891,0.13666076217,6.20062909403,0.0,0.375355128493,0.852392427052,3.4099801598,0.140751170868,-0.101854264055,0.0,441.3757071962962,442.669064121414,444.00706123416325,442.5284645396203
1.620000000000001,0.126580714628,0.390501958582,12.8250704202,0.145566647222,6.19391780659,0.0,0.429667561293,0.941350639157,3.45627817358,0.160519299101,-0.159758748276,0.0,436.7673683978464,431.89685550613603,433.3831975888136,435.0625640928629
1.680000000000001,0.154326341404,0.45013771777,13.0360959678,0.155395574373,6.18458082185,0.0,0.496147338072,1.04744008142,3.57720505926,0.169697427209,-0.148414062742,0.0,458.43925534560674,459.3176689332426,458.4049140120297,459.15827472287407
1.740000000000001,0.185743468537,0.515543354284,13.2492674384,0.166008416586,6.17617061202,0.0,0.551794295312,1.13357130153,3.52838088285,0.188334367592,-0.127384265135,0.0,404.82839047195495,406.69572591946445,402.41172496818007,404.12860934520984
1.8000000000000012,0.22067012563,0.58634303609,13.4597982776,0.177132753635,6.16817554238,0.0,0.613070803282,1.22731150266,3.48911780347,0.178800624102,-0.148786055762,0.0,409.45036294713947,407.52323830436137,408.3455909535008,407.5308304524444
1.8600000000000012,0.259823390317,0.663571174772,13.67139352,0.18820687654,6.15907646704,0.0,0.692891243233,1.3479323286,3.5634023844,0.194130659446,-0.158096137929,0.0,446.8534694877813,446.07219058008485,446.22501840767427,447.50732614923936
1.9200000000000013,0.304259357957,0.748713124619,13.8897750944,0.199731644115,6.14974153248,0.0,0.789270167587,1.49123371411,3.7149583971,0.187632136859,-0.150982303205,0.0,472.2763298697977,472.80338081859014,472.15208383439295,471.684000005444
1.9800000000000013,0.354154406815,0.841913677616,14.1133356984,0.211492740093,6.14068698854,0.0,0.87469661748,1.61640270531,3.73650528415,0.208972131343,-0.150763173897,0.0,433.2815322526779,433.2778797730203,431.9993810421387,433.8333025878431
2.0400000000000014,0.409876102844,0.943612542749,14.3417075562,0.223772222528,6.13136962406,0.0,0.983594525969,1.77469224673,3.87477315416,0.194237561069,-0.166354055536,0.0,472.705639428677,471.4810911357141,471.7890131141799,470.68824359596744
2.1000000000000014,0.472375464128,1.05510915883,14.5784970431,0.23538250629,6.12160498309,0.0,1.10068625557,1.94287935356,4.01700543432,0.191999765106,-0.156364559891,0.0,474.05230245848753,474.7958818024113,476.11137432692163,475.9739142957524
2.1600000000000015,0.541954100539,1.17670570695,14.8227720754,0.247204945516,6.11245068129,0.0,1.21946095267,2.11130874502,4.12438136117,0.205572315601,-0.14590627409,0.0,466.27259512755717,467.0681825286239,466.75563655628446,467.8494172263969
